JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
VEN|Journal des ventes|000007|20230116|445710|TVA collectée|||V2023-0007|20230116|TVA facture V2023-0007||1397.82|||20230116|1397.82|EUR
VEN|Journal des ventes|000008|20230120|411000|Clients|CLI0008|ACME Solutions SAS|V2023-0008|20230120|Facture V2023-0008 ACME Solutions SAS|13718.70||||20230120|13718.70|EUR
VEN|Journal des ventes|000008|20230120|706000|Prestations de services|||V2023-0008|20230120|Prestation V2023-0008||11432.25|||20230120|11432.25|EUR
VEN|Journal des ventes|000008|20230120|445710|TVA collectée|||V2023-0008|20230120|TVA facture V2023-0008||2286.45|||20230120|2286.45|EUR
VEN|Journal des ventes|000009|20230122|411000|Clients|CLI0009|TechVision SARL|V2023-0009|20230122|Facture V2023-0009 TechVision SARL|8924.57||||20230122|8924.57|EUR
VEN|Journal des ventes|000009|20230122|706000|Prestations de services|||V2023-0009|20230122|Prestation V2023-0009||7437.14|||20230122|7437.14|EUR
VEN|Journal des ventes|000009|20230122|445710|TVA collectée|||V2023-0009|20230122|TVA facture V2023-0009||1487.43|||20230122|1487.43|EUR
VEN|Journal des ventes|000010|20230124|411000|Clients|CLI0010|NetServices SA|V2023-0010|20230124|Facture V2023-0010 NetServices SA|9420.01||||20230124|9420.01|EUR
VEN|Journal des ventes|000010|20230124|706000|Prestations de services|||V2023-0010|20230124|Prestation V2023-0010||7850.01|||20230124|7850.01|EUR
VEN|Journal des ventes|000010|20230124|445710|TVA collectée|||V2023-0010|20230124|TVA facture V2023-0010||1570.00|||20230124|1570.00|EUR
VEN|Journal des ventes|000011|20230128|411000|Clients|CLI0011|TechVision SARL|V2023-0011|20230128|Facture V2023-0011 TechVision SARL|6245.77||||20230128|6245.77|EUR
VEN|Journal des ventes|000011|20230128|706000|Prestations de services|||V2023-0011|20230128|Prestation V2023-0011||5204.81|||20230128|5204.81|EUR
VEN|Journal des ventes|000011|20230128|445710|TVA collectée|||V2023-0011|20230128|TVA facture V2023-0011||1040.96|||20230128|1040.96|EUR
VEN|Journal des ventes|000012|20230131|411000|Clients|CLI0012|DataSystems SAS|V2023-0012|20230131|Facture V2023-0012 DataSystems SAS|5762.54||||20230131|5762.54|EUR
VEN|Journal des ventes|000012|20230131|706000|Prestations de services|||V2023-0012|20230131|Prestation V2023-0012||4802.12|||20230131|4802.12|EUR
VEN|Journal des ventes|000012|20230131|445710|TVA collectée|||V2023-0012|20230131|TVA facture V2023-0012||960.42|||20230131|960.42|EUR
VEN|Journal des ventes|000013|20230204|411000|Clients|CLI0013|SmartConseil|V2023-0013|20230204|Facture V2023-0013 SmartConseil|5120.34||||20230204|5120.34|EUR
VEN|Journal des ventes|000013|20230204|706000|Prestations de services|||V2023-0013|20230204|Prestation V2023-0013||4266.95|||20230204|4266.95|EUR
VEN|Journal des ventes|000013|20230204|445710|TVA collectée|||V2023-0013|20230204|TVA facture V2023-0013||853.39|||20230204|853.39|EUR
VEN|Journal des ventes|000014|20230206|411000|Clients|CLI0014|Digital Corp|V2023-0014|20230206|Facture V2023-0014 Digital Corp|11151.32||||20230206|11151.32|EUR
VEN|Journal des ventes|000014|20230206|706000|Prestations de services|||V2023-0014|20230206|Prestation V2023-0014||9292.77|||20230206|9292.77|EUR
VEN|Journal des ventes|000014|20230206|445710|TVA collectée|||V2023-0014|20230206|TVA facture V2023-0014||1858.55|||20230206|1858.55|EUR
VEN|Journal des ventes|000015|20230209|411000|Clients|CLI0015|SmartConseil|V2023-0015|20230209|Facture V2023-0015 SmartConseil|5204.86||||20230209|5204.86|EUR
VEN|Journal des ventes|000015|20230209|706000|Prestations de services|||V2023-0015|20230209|Prestation V2023-0015||4337.38|||20230209|4337.38|EUR
VEN|Journal des ventes|000015|20230209|445710|TVA collectée|||V2023-0015|20230209|TVA facture V2023-0015||867.48|||20230209|867.48|EUR
VEN|Journal des ventes|000016|20230211|411000|Clients|CLI0016|ACME Solutions SAS|V2023-0016|20230211|Facture V2023-0016 ACME Solutions SAS|8250.20||||20230211|8250.20|EUR
VEN|Journal des ventes|000016|20230211|706000|Prestations de services|||V2023-0016|20230211|Prestation V2023-0016||6875.17|||20230211|6875.17|EUR
VEN|Journal des ventes|000016|20230211|445710|TVA collectée|||V2023-0016|20230211|TVA facture V2023-0016||1375.03|||20230211|1375.03|EUR
VEN|Journal des ventes|000017|20230213|411000|Clients|CLI0017|NetServices SA|V2023-0017|20230213|Facture V2023-0017 NetServices SA|6092.05||||20230213|6092.05|EUR
VEN|Journal des ventes|000017|20230213|706000|Prestations de services|||V2023-0017|20230213|Prestation V2023-0017||5076.71|||20230213|5076.71|EUR
VEN|Journal des ventes|000017|20230213|445710|TVA collectée|||V2023-0017|20230213|TVA facture V2023-0017||1015.34|||20230213|1015.34|EUR
VEN|Journal des ventes|000018|20230215|411000|Clients|CLI0018|DataSystems SAS|V2023-0018|20230215|Facture V2023-0018 DataSystems SAS|5871.01||||20230215|5871.01|EUR
VEN|Journal des ventes|000018|20230215|706000|Prestations de services|||V2023-0018|20230215|Prestation V2023-0018||4892.51|||20230215|4892.51|EUR
VEN|Journal des ventes|000018|20230215|445710|TVA collectée|||V2023-0018|20230215|TVA facture V2023-0018||978.50|||20230215|978.50|EUR
VEN|Journal des ventes|000019|20230219|411000|Clients|CLI0019|SystemPro SARL|V2023-0019|20230219|Facture V2023-0019 SystemPro SARL|6927.10||||20230219|6927.10|EUR
VEN|Journal des ventes|000019|20230219|706000|Prestations de services|||V2023-0019|20230219|Prestation V2023-0019||5772.58|||20230219|5772.58|EUR
VEN|Journal des ventes|000019|20230219|445710|TVA collectée|||V2023-0019|20230219|TVA facture V2023-0019||1154.52|||20230219|1154.52|EUR
VEN|Journal des ventes|000020|20230223|411000|Clients|CLI0020|DataSystems SAS|V2023-0020|20230223|Facture V2023-0020 DataSystems SAS|7109.10||||20230223|7109.10|EUR
VEN|Journal des ventes|000020|20230223|706000|Prestations de services|||V2023-0020|20230223|Prestation V2023-0020||5924.25|||20230223|5924.25|EUR
VEN|Journal des ventes|000020|20230223|445710|TVA collectée|||V2023-0020|20230223|TVA facture V2023-0020||1184.85|||20230223|1184.85|EUR
VEN|Journal des ventes|000021|20230225|411000|Clients|CLI0021|DataSystems SAS|V2023-0021|20230225|Facture V2023-0021 DataSystems SAS|10259.51||||20230225|10259.51|EUR
VEN|Journal des ventes|000021|20230225|706000|Prestations de services|||V2023-0021|20230225|Prestation V2023-0021||8549.59|||20230225|8549.59|EUR
VEN|Journal des ventes|000021|20230225|445710|TVA collectée|||V2023-0021|20230225|TVA facture V2023-0021||1709.92|||20230225|1709.92|EUR
VEN|Journal des ventes|000022|20230227|411000|Clients|CLI0022|WebServices Plus|V2023-0022|20230227|Facture V2023-0022 WebServices Plus|10300.14||||20230227|10300.14|EUR
VEN|Journal des ventes|000022|20230227|706000|Prestations de services|||V2023-0022|20230227|Prestation V2023-0022||8583.45|||20230227|8583.45|EUR
VEN|Journal des ventes|000022|20230227|445710|TVA collectée|||V2023-0022|20230227|TVA facture V2023-0022||1716.69|||20230227|1716.69|EUR
VEN|Journal des ventes|000023|20230303|411000|Clients|CLI0023|Digital Corp|V2023-0023|20230303|Facture V2023-0023 Digital Corp|11302.00||||20230303|11302.00|EUR
VEN|Journal des ventes|000023|20230303|706000|Prestations de services|||V2023-0023|20230303|Prestation V2023-0023||9418.33|||20230303|9418.33|EUR
VEN|Journal des ventes|000023|20230303|445710|TVA collectée|||V2023-0023|20230303|TVA facture V2023-0023||1883.67|||20230303|1883.67|EUR
VEN|Journal des ventes|000024|20230307|411000|Clients|CLI0024|Digital Corp|V2023-0024|20230307|Facture V2023-0024 Digital Corp|10097.33||||20230307|10097.33|EUR
VEN|Journal des ventes|000024|20230307|706000|Prestations de services|||V2023-0024|20230307|Prestation V2023-0024||8414.44|||20230307|8414.44|EUR
VEN|Journal des ventes|000024|20230307|445710|TVA collectée|||V2023-0024|20230307|TVA facture V2023-0024||1682.89|||20230307|1682.89|EUR
VEN|Journal des ventes|000025|20230311|411000|Clients|CLI0025|TechVision SARL|V2023-0025|20230311|Facture V2023-0025 TechVision SARL|6454.57||||20230311|6454.57|EUR
VEN|Journal des ventes|000025|20230311|706000|Prestations de services|||V2023-0025|20230311|Prestation V2023-0025||5378.81|||20230311|5378.81|EUR
VEN|Journal des ventes|000025|20230311|445710|TVA collectée|||V2023-0025|20230311|TVA facture V2023-0025||1075.76|||20230311|1075.76|EUR
VEN|Journal des ventes|000026|20230315|411000|Clients|CLI0026|NetServices SA|V2023-0026|20230315|Facture V2023-0026 NetServices SA|3784.63||||20230315|3784.63|EUR
VEN|Journal des ventes|000026|20230315|706000|Prestations de services|||V2023-0026|20230315|Prestation V2023-0026||3153.86|||20230315|3153.86|EUR
VEN|Journal des ventes|000026|20230315|445710|TVA collectée|||V2023-0026|20230315|TVA facture V2023-0026||630.77|||20230315|630.77|EUR
VEN|Journal des ventes|000027|20230317|411000|Clients|CLI0027|Digital Corp|V2023-0027|20230317|Facture V2023-0027 Digital Corp|6187.96||||20230317|6187.96|EUR
VEN|Journal des ventes|000027|20230317|706000|Prestations de services|||V2023-0027|20230317|Prestation V2023-0027||5156.63|||20230317|5156.63|EUR
VEN|Journal des ventes|000027|20230317|445710|TVA collectée|||V2023-0027|20230317|TVA facture V2023-0027||1031.33|||20230317|1031.33|EUR
VEN|Journal des ventes|000028|20230321|411000|Clients|CLI0028|DataSystems SAS|V2023-0028|20230321|Facture V2023-0028 DataSystems SAS|7431.70||||20230321|7431.70|EUR
VEN|Journal des ventes|000028|20230321|706000|Prestations de services|||V2023-0028|20230321|Prestation V2023-0028||6193.08|||20230321|6193.08|EUR
VEN|Journal des ventes|000028|20230321|445710|TVA collectée|||V2023-0028|20230321|TVA facture V2023-0028||1238.62|||20230321|1238.62|EUR
VEN|Journal des ventes|000029|20230324|411000|Clients|CLI0029|SystemPro SARL|V2023-0029|20230324|Facture V2023-0029 SystemPro SARL|8864.98||||20230324|8864.98|EUR
VEN|Journal des ventes|000029|20230324|706000|Prestations de services|||V2023-0029|20230324|Prestation V2023-0029||7387.48|||20230324|7387.48|EUR
VEN|Journal des ventes|000029|20230324|445710|TVA collectée|||V2023-0029|20230324|TVA facture V2023-0029||1477.50|||20230324|1477.50|EUR
VEN|Journal des ventes|000030|20230328|411000|Clients|CLI0030|TechVision SARL|V2023-0030|20230328|Facture V2023-0030 TechVision SARL|13571.60||||20230328|13571.60|EUR
VEN|Journal des ventes|000030|20230328|706000|Prestations de services|||V2023-0030|20230328|Prestation V2023-0030||11309.67|||20230328|11309.67|EUR
VEN|Journal des ventes|000030|20230328|445710|TVA collectée|||V2023-0030|20230328|TVA facture V2023-0030||2261.93|||20230328|2261.93|EUR
VEN|Journal des ventes|000031|20230331|411000|Clients|CLI0031|CloudExpert EURL|V2023-0031|20230331|Facture V2023-0031 CloudExpert EURL|12633.23||||20230331|12633.23|EUR
VEN|Journal des ventes|000031|20230331|706000|Prestations de services|||V2023-0031|20230331|Prestation V2023-0031||10527.69|||20230331|10527.69|EUR
VEN|Journal des ventes|000031|20230331|445710|TVA collectée|||V2023-0031|20230331|TVA facture V2023-0031||2105.54|||20230331|2105.54|EUR
VEN|Journal des ventes|000032|20230404|411000|Clients|CLI0032|NetServices SA|V2023-0032|20230404|Facture V2023-0032 NetServices SA|10887.10||||20230404|10887.10|EUR
VEN|Journal des ventes|000032|20230404|706000|Prestations de services|||V2023-0032|20230404|Prestation V2023-0032||9072.58|||20230404|9072.58|EUR
VEN|Journal des ventes|000032|20230404|445710|TVA collectée|||V2023-0032|20230404|TVA facture V2023-0032||1814.52|||20230404|1814.52|EUR
VEN|Journal des ventes|000033|20230407|411000|Clients|CLI0033|WebServices Plus|V2023-0033|20230407|Facture V2023-0033 WebServices Plus|5257.91||||20230407|5257.91|EUR
VEN|Journal des ventes|000033|20230407|706000|Prestations de services|||V2023-0033|20230407|Prestation V2023-0033||4381.59|||20230407|4381.59|EUR
VEN|Journal des ventes|000033|20230407|445710|TVA collectée|||V2023-0033|20230407|TVA facture V2023-0033||876.32|||20230407|876.32|EUR
VEN|Journal des ventes|000034|20230409|411000|Clients|CLI0034|WebServices Plus|V2023-0034|20230409|Facture V2023-0034 WebServices Plus|9171.54||||20230409|9171.54|EUR
VEN|Journal des ventes|000034|20230409|706000|Prestations de services|||V2023-0034|20230409|Prestation V2023-0034||7642.95|||20230409|7642.95|EUR
VEN|Journal des ventes|000034|20230409|445710|TVA collectée|||V2023-0034|20230409|TVA facture V2023-0034||1528.59|||20230409|1528.59|EUR
VEN|Journal des ventes|000035|20230413|411000|Clients|CLI0035|Digital Corp|V2023-0035|20230413|Facture V2023-0035 Digital Corp|6167.03||||20230413|6167.03|EUR
VEN|Journal des ventes|000035|20230413|706000|Prestations de services|||V2023-0035|20230413|Prestation V2023-0035||5139.19|||20230413|5139.19|EUR
VEN|Journal des ventes|000035|20230413|445710|TVA collectée|||V2023-0035|20230413|TVA facture V2023-0035||1027.84|||20230413|1027.84|EUR
VEN|Journal des ventes|000036|20230415|411000|Clients|CLI0036|SmartConseil|V2023-0036|20230415|Facture V2023-0036 SmartConseil|13012.08||||20230415|13012.08|EUR
VEN|Journal des ventes|000036|20230415|706000|Prestations de services|||V2023-0036|20230415|Prestation V2023-0036||10843.40|||20230415|10843.40|EUR
VEN|Journal des ventes|000036|20230415|445710|TVA collectée|||V2023-0036|20230415|TVA facture V2023-0036||2168.68|||20230415|2168.68|EUR
VEN|Journal des ventes|000037|20230419|411000|Clients|CLI0037|NetServices SA|V2023-0037|20230419|Facture V2023-0037 NetServices SA|12807.28||||20230419|12807.28|EUR
VEN|Journal des ventes|000037|20230419|706000|Prestations de services|||V2023-0037|20230419|Prestation V2023-0037||10672.73|||20230419|10672.73|EUR
VEN|Journal des ventes|000037|20230419|445710|TVA collectée|||V2023-0037|20230419|TVA facture V2023-0037||2134.55|||20230419|2134.55|EUR
VEN|Journal des ventes|000038|20230421|411000|Clients|CLI0038|SmartConseil|V2023-0038|20230421|Facture V2023-0038 SmartConseil|8584.70||||20230421|8584.70|EUR
VEN|Journal des ventes|000038|20230421|706000|Prestations de services|||V2023-0038|20230421|Prestation V2023-0038||7153.92|||20230421|7153.92|EUR
VEN|Journal des ventes|000038|20230421|445710|TVA collectée|||V2023-0038|20230421|TVA facture V2023-0038||1430.78|||20230421|1430.78|EUR
VEN|Journal des ventes|000039|20230424|411000|Clients|CLI0039|TechVision SARL|V2023-0039|20230424|Facture V2023-0039 TechVision SARL|9964.87||||20230424|9964.87|EUR
VEN|Journal des ventes|000039|20230424|706000|Prestations de services|||V2023-0039|20230424|Prestation V2023-0039||8304.06|||20230424|8304.06|EUR
VEN|Journal des ventes|000039|20230424|445710|TVA collectée|||V2023-0039|20230424|TVA facture V2023-0039||1660.81|||20230424|1660.81|EUR
VEN|Journal des ventes|000040|20230426|411000|Clients|CLI0040|GlobalIT France|V2023-0040|20230426|Facture V2023-0040 GlobalIT France|4340.32||||20230426|4340.32|EUR
VEN|Journal des ventes|000040|20230426|706000|Prestations de services|||V2023-0040|20230426|Prestation V2023-0040||3616.93|||20230426|3616.93|EUR
VEN|Journal des ventes|000040|20230426|445710|TVA collectée|||V2023-0040|20230426|TVA facture V2023-0040||723.39|||20230426|723.39|EUR
VEN|Journal des ventes|000041|20230428|411000|Clients|CLI0041|SmartConseil|V2023-0041|20230428|Facture V2023-0041 SmartConseil|7237.67||||20230428|7237.67|EUR
VEN|Journal des ventes|000041|20230428|706000|Prestations de services|||V2023-0041|20230428|Prestation V2023-0041||6031.39|||20230428|6031.39|EUR
VEN|Journal des ventes|000041|20230428|445710|TVA collectée|||V2023-0041|20230428|TVA facture V2023-0041||1206.28|||20230428|1206.28|EUR
VEN|Journal des ventes|000042|20230501|411000|Clients|CLI0042|DataSystems SAS|V2023-0042|20230501|Facture V2023-0042 DataSystems SAS|13845.22||||20230501|13845.22|EUR
VEN|Journal des ventes|000042|20230501|706000|Prestations de services|||V2023-0042|20230501|Prestation V2023-0042||11537.68|||20230501|11537.68|EUR
VEN|Journal des ventes|000042|20230501|445710|TVA collectée|||V2023-0042|20230501|TVA facture V2023-0042||2307.54|||20230501|2307.54|EUR
VEN|Journal des ventes|000043|20230503|411000|Clients|CLI0043|TechVision SARL|V2023-0043|20230503|Facture V2023-0043 TechVision SARL|12109.26||||20230503|12109.26|EUR
VEN|Journal des ventes|000043|20230503|706000|Prestations de services|||V2023-0043|20230503|Prestation V2023-0043||10091.05|||20230503|10091.05|EUR
VEN|Journal des ventes|000043|20230503|445710|TVA collectée|||V2023-0043|20230503|TVA facture V2023-0043||2018.21|||20230503|2018.21|EUR
VEN|Journal des ventes|000044|20230507|411000|Clients|CLI0044|DataSystems SAS|V2023-0044|20230507|Facture V2023-0044 DataSystems SAS|10166.57||||20230507|10166.57|EUR
VEN|Journal des ventes|000044|20230507|706000|Prestations de services|||V2023-0044|20230507|Prestation V2023-0044||8472.14|||20230507|8472.14|EUR
VEN|Journal des ventes|000044|20230507|445710|TVA collectée|||V2023-0044|20230507|TVA facture V2023-0044||1694.43|||20230507|1694.43|EUR
VEN|Journal des ventes|000045|20230511|411000|Clients|CLI0045|Innovatech SA|V2023-0045|20230511|Facture V2023-0045 Innovatech SA|11375.82||||20230511|11375.82|EUR
VEN|Journal des ventes|000045|20230511|706000|Prestations de services|||V2023-0045|20230511|Prestation V2023-0045||9479.85|||20230511|9479.85|EUR
VEN|Journal des ventes|000045|20230511|445710|TVA collectée|||V2023-0045|20230511|TVA facture V2023-0045||1895.97|||20230511|1895.97|EUR
VEN|Journal des ventes|000046|20230515|411000|Clients|CLI0046|Innovatech SA|V2023-0046|20230515|Facture V2023-0046 Innovatech SA|3887.76||||20230515|3887.76|EUR
VEN|Journal des ventes|000046|20230515|706000|Prestations de services|||V2023-0046|20230515|Prestation V2023-0046||3239.80|||20230515|3239.80|EUR
VEN|Journal des ventes|000046|20230515|445710|TVA collectée|||V2023-0046|20230515|TVA facture V2023-0046||647.96|||20230515|647.96|EUR
VEN|Journal des ventes|000047|20230518|411000|Clients|CLI0047|DataSystems SAS|V2023-0047|20230518|Facture V2023-0047 DataSystems SAS|13741.84||||20230518|13741.84|EUR
VEN|Journal des ventes|000047|20230518|706000|Prestations de services|||V2023-0047|20230518|Prestation V2023-0047||11451.53|||20230518|11451.53|EUR
VEN|Journal des ventes|000047|20230518|445710|TVA collectée|||V2023-0047|20230518|TVA facture V2023-0047||2290.31|||20230518|2290.31|EUR
VEN|Journal des ventes|000048|20230522|411000|Clients|CLI0048|ACME Solutions SAS|V2023-0048|20230522|Facture V2023-0048 ACME Solutions SAS|14100.11||||20230522|14100.11|EUR
VEN|Journal des ventes|000048|20230522|706000|Prestations de services|||V2023-0048|20230522|Prestation V2023-0048||11750.09|||20230522|11750.09|EUR
VEN|Journal des ventes|000048|20230522|445710|TVA collectée|||V2023-0048|20230522|TVA facture V2023-0048||2350.02|||20230522|2350.02|EUR
VEN|Journal des ventes|000049|20230526|411000|Clients|CLI0049|SystemPro SARL|V2023-0049|20230526|Facture V2023-0049 SystemPro SARL|4678.85||||20230526|4678.85|EUR
VEN|Journal des ventes|000049|20230526|706000|Prestations de services|||V2023-0049|20230526|Prestation V2023-0049||3899.04|||20230526|3899.04|EUR
VEN|Journal des ventes|000049|20230526|445710|TVA collectée|||V2023-0049|20230526|TVA facture V2023-0049||779.81|||20230526|779.81|EUR
VEN|Journal des ventes|000050|20230529|411000|Clients|CLI0050|WebServices Plus|V2023-0050|20230529|Facture V2023-0050 WebServices Plus|8419.39||||20230529|8419.39|EUR
VEN|Journal des ventes|000050|20230529|706000|Prestations de services|||V2023-0050|20230529|Prestation V2023-0050||7016.16|||20230529|7016.16|EUR
VEN|Journal des ventes|000050|20230529|445710|TVA collectée|||V2023-0050|20230529|TVA facture V2023-0050||1403.23|||20230529|1403.23|EUR
VEN|Journal des ventes|000051|20230531|411000|Clients|CLI0051|SystemPro SARL|V2023-0051|20230531|Facture V2023-0051 SystemPro SARL|6113.30||||20230531|6113.30|EUR
VEN|Journal des ventes|000051|20230531|706000|Prestations de services|||V2023-0051|20230531|Prestation V2023-0051||5094.42|||20230531|5094.42|EUR
VEN|Journal des ventes|000051|20230531|445710|TVA collectée|||V2023-0051|20230531|TVA facture V2023-0051||1018.88|||20230531|1018.88|EUR
VEN|Journal des ventes|000052|20230602|411000|Clients|CLI0052|NetServices SA|V2023-0052|20230602|Facture V2023-0052 NetServices SA|13393.15||||20230602|13393.15|EUR
VEN|Journal des ventes|000052|20230602|706000|Prestations de services|||V2023-0052|20230602|Prestation V2023-0052||11160.96|||20230602|11160.96|EUR
VEN|Journal des ventes|000052|20230602|445710|TVA collectée|||V2023-0052|20230602|TVA facture V2023-0052||2232.19|||20230602|2232.19|EUR
VEN|Journal des ventes|000053|20230604|411000|Clients|CLI0053|ACME Solutions SAS|V2023-0053|20230604|Facture V2023-0053 ACME Solutions SAS|12609.12||||20230604|12609.12|EUR
VEN|Journal des ventes|000053|20230604|706000|Prestations de services|||V2023-0053|20230604|Prestation V2023-0053||10507.60|||20230604|10507.60|EUR
VEN|Journal des ventes|000053|20230604|445710|TVA collectée|||V2023-0053|20230604|TVA facture V2023-0053||2101.52|||20230604|2101.52|EUR
VEN|Journal des ventes|000054|20230606|411000|Clients|CLI0054|GlobalIT France|V2023-0054|20230606|Facture V2023-0054 GlobalIT France|13721.10||||20230606|13721.10|EUR
VEN|Journal des ventes|000054|20230606|706000|Prestations de services|||V2023-0054|20230606|Prestation V2023-0054||11434.25|||20230606|11434.25|EUR
VEN|Journal des ventes|000054|20230606|445710|TVA collectée|||V2023-0054|20230606|TVA facture V2023-0054||2286.85|||20230606|2286.85|EUR
VEN|Journal des ventes|000055|20230609|411000|Clients|CLI0055|SystemPro SARL|V2023-0055|20230609|Facture V2023-0055 SystemPro SARL|11857.56||||20230609|11857.56|EUR
VEN|Journal des ventes|000055|20230609|706000|Prestations de services|||V2023-0055|20230609|Prestation V2023-0055||9881.30|||20230609|9881.30|EUR
VEN|Journal des ventes|000055|20230609|445710|TVA collectée|||V2023-0055|20230609|TVA facture V2023-0055||1976.26|||20230609|1976.26|EUR
VEN|Journal des ventes|000056|20230611|411000|Clients|CLI0056|DataSystems SAS|V2023-0056|20230611|Facture V2023-0056 DataSystems SAS|8183.87||||20230611|8183.87|EUR
VEN|Journal des ventes|000056|20230611|706000|Prestations de services|||V2023-0056|20230611|Prestation V2023-0056||6819.89|||20230611|6819.89|EUR
VEN|Journal des ventes|000056|20230611|445710|TVA collectée|||V2023-0056|20230611|TVA facture V2023-0056||1363.98|||20230611|1363.98|EUR
VEN|Journal des ventes|000057|20230615|411000|Clients|CLI0057|SmartConseil|V2023-0057|20230615|Facture V2023-0057 SmartConseil|13871.23||||20230615|13871.23|EUR
VEN|Journal des ventes|000057|20230615|706000|Prestations de services|||V2023-0057|20230615|Prestation V2023-0057||11559.36|||20230615|11559.36|EUR
VEN|Journal des ventes|000057|20230615|445710|TVA collectée|||V2023-0057|20230615|TVA facture V2023-0057||2311.87|||20230615|2311.87|EUR
VEN|Journal des ventes|000058|20230619|411000|Clients|CLI0058|CloudExpert EURL|V2023-0058|20230619|Facture V2023-0058 CloudExpert EURL|9094.27||||20230619|9094.27|EUR
VEN|Journal des ventes|000058|20230619|706000|Prestations de services|||V2023-0058|20230619|Prestation V2023-0058||7578.56|||20230619|7578.56|EUR
VEN|Journal des ventes|000058|20230619|445710|TVA collectée|||V2023-0058|20230619|TVA facture V2023-0058||1515.71|||20230619|1515.71|EUR
VEN|Journal des ventes|000059|20230622|411000|Clients|CLI0059|Innovatech SA|V2023-0059|20230622|Facture V2023-0059 Innovatech SA|12729.64||||20230622|12729.64|EUR
VEN|Journal des ventes|000059|20230622|706000|Prestations de services|||V2023-0059|20230622|Prestation V2023-0059||10608.03|||20230622|10608.03|EUR
VEN|Journal des ventes|000059|20230622|445710|TVA collectée|||V2023-0059|20230622|TVA facture V2023-0059||2121.61|||20230622|2121.61|EUR
VEN|Journal des ventes|000060|20230625|411000|Clients|CLI0060|NetServices SA|V2023-0060|20230625|Facture V2023-0060 NetServices SA|9603.54||||20230625|9603.54|EUR
